881618880255065,IRB3SS2499C1,S24Q1,SSI-IJR2-NVN210316,SS24,شستا994,اجاره تامین اجتماعی-نوین991226,IRB3SS2499C9,20180721,2,اجاره شستا-بخش2-نوین13991226,A,Z1,NO,4,69,6910,306
917857106093847,IRO3HPRZ0001,HPRZ1,Parsian Oil&Gas,HPRZ,حپارسا,توسعه حمل و نقل ریلی پارسیان,IRO3HPRZ0002,20200801,2,توسعه حمل و نقل ریلی پارسیان,A,Z1,NO,3,60,6010,303
1050751214677134,IRO5PSGS0001,PSGS1,PetroSanat Gameron,PSGS,شگامرن,مجتمع پترو صنعت گامرون,IRO5PSGS0009,20200609,2,مجتمع پترو صنعت گامرون,A,V1,NO,9,44,4411,313
1123534346391630,IRX6X28T0006,X28T6,Index Group 28,IDXS,28-محصولات فلزی6,28-محصولات فلزی,IRX6X28T0006,20171212,1,شرکت شاخص,I,00,ID,6,X1,X1,68
1200391996585610,IRO6MELZ97A1,TM121,Melli Mortgage1901,MELZ,تملی710,تسهیلات مسکن ب. ملی-دی97,IRO6MELZ97A0,20190123,2,تسهیلات مسکن بانک ملی ایران,A,Z1,NO,4,59,5910,307
1245925241417929,IRO3MSZ91081,MK261,Bank Maskan,MSKZ,تسه9108,امتیازتسهیلات مسکن آبان ماه 91,IRO3MSZ91088,20180721,2,بانک مسکن,A,Z1,NO,4,59,5910,303
1314853494617240,IRR1KSAD0101,KSAX1,Saadi Tile-R,KSAD,کسعدیح,ح . کاشی‌ سعدی‌,IRR1KSAD0103,20171213,1,کاشی‌ سعدی‌,A,N2,NO,5,49,4993,400
1358190916156744,IRO1TAZB0001,TAZB1,Azarbayjan Inv.,TAZB,وآذر,سرمایه‌گذاری‌توسعه‌آذربایجان‌,IRO1TAZB0005,20200801,1,سرمایه‌گذاری‌توسعه‌آذربایجان‌,A,N2,NO,5,70,7099,300
1359959101711313,IRO3MSZ92071,MK371,BANK MASKAN,MSKZ,تسه9207,امتیاز تسهیلات مسکن مهرماه 92,IRO3MSZ92078,20180721,2,بانک مسکن,A,Z1,NO,4,59,5910,303
1438514795814416,IRT1YGHT0001,YGHT1,Yaghoot Agah ETF,YGHT,یاقوت,صندوق س یاقوت آگاه-ثابت,IRT1YGHT0003,20200613,1,صندوق س یاقوت آگاه-ثابت,A,H1,NO,4,68,6812,305
1625149423498289,IRO3SMBZ0001,SMBZ1,Sina Marine srv,SMBZ,حسینا,توسعه خدمات دریایی وبندری سینا,IRO3SMBZ0000,20200801,2,توسعه خدمات دریایی وبندری سینا,A,Z1,NO,3,60,6003,303
1723099959084685,IRR1TKIN0101,TKIX1,Techinco-R,TKIN,رتکوح,ح . کنترل‌خوردگی‌تکین‌کو,IRR1TKIN0102,20200406,1,کنترل‌خوردگی‌تکین‌کو,A,61,NO,5,74,7422,400
1771069330721898,IRR7PJHP0101,PJHX1,Jahrom Petro.-R,PJHP,جهرمح,ح.پتروشیمی جهرم,IRR7PJHP0102,20200118,4,پتروشیمی جهرم,A,P1,NO,7,44,4411,404
1778142796834142,IRO6MELZ9831,TM171,Melli Mortgage1906,MELZ,تملی803,تسهیلات مسکن ب. ملی-خرداد98,IRO6MELZ9838,20190625,2,تسهیلات مسکن بانک ملی ایران,A,Z1,NO,4,59,5910,307
1806692551822666,IRB3AL010251,AL1Q1,AlborzNr.IJR230805,AL01,البرز02,اجاره ریلی البرزنیرو14020514,IRB3AL010258,20180805,2,تجهیزات ناوگان ریلی البرزنیرو,A,Z1,NO,4,69,6910,306
1808967844081601,IRO3ZF460001,ZF461,Nosaz Services,ZF46,خدمات نوساز,ساختمان و خدمات نوساز,IRO3ZF460000,20180721,2,ساختمان و خدمات نوساز,A,Z1,NO,5,55,5510,303
1811292893243712,IRB1QM040001,QM4Q1,Quotes 04,QM04,مظنه4,مظنه پذیره4- اوراق منفعت دولت,IRB1QM040001,20200712,2,مظنه پذیره نویسی اوراق دولتی4,A,18,NO,4,69,6946,402
1822787329898392,IRO3CHPZ0001,CHPZ1,Chlor Pars,CHPZ,کلر,کلر پارس,IRO3CHPZ0009,20200801,2,کلر پارس,A,71,NO,3,44,4411,303
1831214548277647,IRO6MSKZ9831,MZ061,Mortgage Right9803,MSKZ,تسه9803,امتیاز تسهیلات مسکن خرداد98,IRO6MSKZ9833,20200526,2,بانک مسکن,A,Z1,NO,4,59,5910,307
1852132120586484,IRR1INDM0101,INDX1,Indamin-R,INDM,خکمکح,ح . کمک‌فنرایندامین‌,IRR1INDM0108,20171213,1,کمک‌فنرایندامین‌,A,N2,NO,5,34,3430,400
1860384396424573,IRR1SHSI0101,SHSX1,Sina Chem. Ind.-R,SHSI,شسیناح,ح . صنایع‌شیمیایی‌سینا,IRR1SHSI0103,20171213,1,صنایع‌شیمیایی‌سینا,A,N2,NO,5,44,4411,400
1911343624441437,IRR1OFOG0101,OFOX1,Ofogh Koorosh-R,OFOG,افقح,ح .فروشگاه زنجیره ای افق کوروش,IRR1OFOG0105,20200705,1,فروشگاههای زنجیره ای افق کوروش,A,N2,NO,5,47,4711,400
1931037287459558,IRR1MOTJ0101,MOTX1,Motogen-R,MOTJ,بموتوح,ح . موتوژن‌,IRR1MOTJ0108,20171213,1,موتوژن‌,A,N1,NO,1,31,3110,400
2050740941534952,IRR1ALMR0101,ALMX1,Alomrad-R,ALMR,فمرادح,ح . آلومراد,IRR1ALMR0102,20171213,1,آلومراد,A,N2,NO,5,27,2720,400
2122354233695079,IRR1SBHN0101,SBHX1,Behbahan Cement-R,SBHN,سبهانح,ح . سیمان‌ بهبهان‌,IRR1SBHN0105,20200610,1,سیمان‌ بهبهان‌,A,N2,NO,5,53,5394,400
2135047529277416,IRR3ETLZ0101,ETLX1,Alborz Invest.-R,ETLZ,اعتلاح,ح سرمایه گذاری اعتلاء البرز,IRR3ETLZ0109,20200309,2,شرکت سرمایه گذاری اعتلاء البرز,A,Z1,NO,3,56,5699,403
2147129961448440,IRO6MELZ97C1,TM141,Melli Mortgage1903,MELZ,تملی712,تسهیلات مسکن ب. ملی-اسفند97,IRO6MELZ97C6,20190326,2,تسهیلات مسکن بانک ملی ایران,A,Z1,NO,4,59,5910,307
2254054929817435,IRO1KDPS0001,KDPS1,P. Animal Feed,KDPS,غدام,خوراک‌  دام‌ پارس‌,IRO1KDPS0004,20200801,1,خوراک‌ دام‌ پارس‌,A,N2,NO,5,42,4233,300
2262715289665960,IRR1RADI0101,RADX1,Iran Radiator-R,RADI,ختورح,ح . رادیاتور ایران‌,IRR1RADI0108,20200728,1,رادیاتور ایران‌,A,N2,NO,5,34,3430,400
2318736941376687,IRO7SDRP0001,SDRP1,SADRA,SDRP,خصدرا,صنعتی‌ دریایی‌ ایران‌,IRO7SDRP0001,20200801,4,صنعتی‌ دریایی‌ ایران‌,A,P1,NO,7,45,4520,309
2328862017676109,IRO1SPAH0001,SPAH1,Sepah Inv.,SPAH,وسپه,سرمایه‌گذاری‌ سپه‌,IRO1SPAH0002,20200801,1,سرمایه‌گذاری‌ سپه‌,A,N1,NO,1,56,5699,300
2334276998450282,IRR7MILP0101,MILX1,Ahan&Folad Co-R,MILP,بمیلاح,ح.آهن و فولاد میلاد,IRR7MILP0100,20180721,4,توسعه بازرگانی آهن وفولادمیلاد,A,P1,NO,7,46,4610,404
2362491091971813,IRR1TMEL0101,TMEX1,Tosee Melli Inv-R,TMEL,وتوسمح,ح . سرمایه‌گذاری‌توسعه‌ملی‌,IRR1TMEL0106,20171213,1,سرمایه‌گذاری‌توسعه‌ملی‌,A,N1,NO,3,56,5699,400
2400322364771558,IRO1TAMN0001,TAMN1,Social Sec Inv,TAMN,شستا,سرمایه گذاری تامین اجتماعی,IRO1TAMN0006,20200801,1,سرمایه گذاری تامین اجتماعی,A,G1,NO,5,39,3999,300
2434703913394836,IRO1DMOR0001,DMOR1,Dasht Morghab,DMOR,غدشت,دشت‌ مرغاب‌,IRO1DMOR0004,20200801,1,دشت‌ مرغاب‌,A,N2,NO,5,42,4213,300
2501017203331667,IRR1DPAK0101,DPAX1,Daroupakhsh P.-R,DPAK,داروح,ح . کارخانجات‌داروپخش,IRR1DPAK0106,20191231,1,کارخانجات‌داروپخش‌,A,61,NO,5,43,4323,400
2512214120008228,IRO1FSIN0001,FSIN1,Investment Sina,FSIN,سینا,مالی و سرمایه گذاری سینا,IRO1FSIN0008,20200425,1,مالی و سرمایه گذاری سینا,A,N2,NO,5,39,3999,300
2589887561569709,IRO1ZMYD0001,ZMYD1,Zamyad,ZMYD,خزامیا,زامیاد,IRO1ZMYD0002,20200801,1,زامیاد,A,N2,NO,5,34,3410,300
2705253775088582,IRR1SHPZ0101,SHPX1,W. Azar. Pegah-R,SHPZ,غشاذرح,ح . ‌پگاه‌آذربایجان‌غربی‌,IRR1SHPZ0105,20190102,1,‌پگاه‌آذربایجان‌غربی‌,A,N2,NO,5,42,4220,400
2786094660320231,IRR3PMTZ0101,PMTX1,Maskan Invest.-R,PMTZ,ثترانح,ح سرمایه گذاری مسکن تهران,IRR3PMTZ0105,20191207,2,سرمایه گذاری مسکن تهران,A,Z1,NO,3,70,7010,403
2819110578357790,IRR1SSOF0101,SSOX1,Soufian Cement-R,SSOF,سصوفیح,ح . سیمان‌ صوفیان‌,IRR1SSOF0107,20200216,1,سیمان‌ صوفیان‌,A,N1,NO,1,53,5394,400
2849875720026255,IRB6SP0701C1,SP7Q1,Sokuk Saipa112,SP07,صایپا112,صکوک مرابحه سایپا112-3ماهه 16%,IRB6SP0701C9,20190311,1,صکوک مرابحه سایپا112-3ماهه 16%,A,N4,NO,9,34,3410,208
2855515398698068,IRR1MRIN0101,MRIX1,Iranmerinos-R,MRIN,نمرینوح,ح . ایران‌ مرینوس‌,IRR1MRIN0102,20180725,1,ایران‌ مرینوس‌,A,N2,NO,5,17,1711,400
2888358730233310,IRB3SI2399B1,I23Q1,SOV.IJR2-MLT210206,SI23,اجاد23,اجاره دولتی آپرورش-ملت991118,IRB3SI2399B4,20180721,2,اجاره دولتی آپرورش-ملت991118,A,Z1,NO,4,69,6942,306
2892746204060110,IRR3AFRZ0101,AFRX1,Afra Net Co. -R,AFRZ,افراح,ح. افرانت,IRR3AFRZ0103,20200406,2,افرانت,A,Z1,NO,1,72,7200,403
2929948497881810,IRB3SI2599B1,I25Q1,SOV.IJR2-SPH210206,SI25,اجاد25,اجاره دولتی آپرورش-سپهر991118,IRB3SI2599B9,20180721,2,اجاره دولتی آپرورش-سپهر991118,A,Z1,NO,4,69,6942,306
2944500421562364,IRO1TOSA0001,TOSA1,Iran Ind. Dev.,TOSA,وتوصا,گروه س توسعه صنعتی ایران,IRO1TOSA0009,20200801,1,گروه س توسعه صنعتی ایران,A,N1,NO,1,56,5699,300
3019817952865782,IRB3TB750291,TB751,TreasuryBill231127,TB75,اخزا821,اسنادخزانه-م21بودجه98-020906,IRB3TB750292,20200526,2,اسنادخزانه اسلامی-م21بودجه1398,A,I1,NO,4,69,6940,306
3037464497437282,IRR1SKER0101,SKEX1,Kerman Cement-R,SKER,سکرماح,ح . سیمان‌ کرمان‌,IRR1SKER0103,20180101,1,سیمان‌ کرمان‌,A,N1,NO,1,53,5394,400
3050342257199174,IRO7NJSP0001,NJSP1,Naghsh Jahan Sugar,NJSP,قنقش,قند نقش جهان,IRO7NJSP0009,20200801,4,قند نقش جهان,A,C1,NO,7,38,3842,309
3050805371360862,IRR3ETKZ0101,ETKX1,Iranian Etekai-R,ETKZ,اتکایح,ح . بیمه اتکایی ایرانیان,IRR3ETKZ0100,20180721,2,بیمه اتکایی ایرانیان,A,Z1,NO,1,66,6603,403
3083005592739412,IRO5UWCS0001,UWCS1,Urumieh WHT.Cement,UWCS,سفاروم,سیمان سفید ارومیه,IRO5UWCS0000,20180721,2,سیمان سفید ارومیه,A,V1,NO,9,53,5394,313
3149396562827132,IRO1LIRZ0001,LIRZ1,Iranian Lizing,LIRZ,وایران,لیزینگ ایرانیان,IRO1LIRZ0007,20200801,1,لیزینگ ایرانیان,A,N1,NO,1,58,5891,300
3164894984700505,IRR3ISLZ0101,ISLX1,Iran & hargh Lsg-R,ISLZ,ولشرقح,ح . لیزینگ ایران و شرق,IRR3ISLZ0106,20200428,2,لیزینگ ایران و شرق,A,Z1,NO,3,65,6591,403
3173544097113770,IRO7STNP0001,STNP1,Golestan Petro.,STNP,شستان,پتروشیمی گلستان,IRO7STNP0007,20200801,4,پتروشیمی گلستان,A,C1,NO,7,44,4411,309
3231489895425696,IRR3NPSZ0101,NPSX1,NPSZ-R,NPSZ,شپاسح,ح . نفت پاسارگاد,IRR3NPSZ0105,20180721,2,نفت پاسارگاد,A,Z1,NO,3,23,2308,403
3236505307755709,IRO3ZF890001,ZF891,Iran Reno. Co.,ZF89,نوسازی صنایع,نوسازی صنایع ایران,IRO3ZF890008,20180721,2,نوسازی صنایع ایران,A,Z1,NO,5,45,4521,303
3329167699100936,IRT3VC060001,VC061,RetirementTech.VCF,VC06,فنابا,ص.ج. فناوری بازنشستگی 20%تادیه,IRT3VC060004,20191022,2,ص.س.جسورانه فناوری بازنشستگی,A,T1,NO,4,68,6815,305
3362850293262749,IRR1DALZ0101,DALX1,Alborz Darou-R,DALZ,دالبرح,ح . البرزدارو,IRR1DALZ0103,20200613,1,البرزدارو,A,N1,NO,1,43,4323,400
3370493881245014,IRO6MSKZ98B1,MZ141,Mortgage Right9811,MSKZ,تسه9811,امتیاز تسهیلات مسکن بهمن98,IRO6MSKZ98B8,20200526,2,بانک مسکن,A,Z1,NO,4,59,5910,307
3388451018224720,IRR1PELC0101,PELX1,Pars Electric-R,PELC,لپارسح,ح . پارس‌ الکتریک‌,IRR1PELC0102,20171213,1,پارس‌ الکتریک‌,A,N2,NO,5,32,3230,400
3407806799514469,IRO3URPZ0001,URPZ1,UrmiaPetrochemical,URPZ,شاروم,پتروشیمی ارومیه,IRO3URPZ0005,20200801,2,پتروشیمی ارومیه,A,Z1,NO,3,44,4412,303
3426578415893871,IRR7PKBP0101,PKBX1,Amir Kabir Co.-R,PKBP,شکبیرح,ح.پتروشیمی امیرکبیر,IRR7PKBP0105,20190908,4,پتروشیمی امیرکبیر,A,P1,NO,7,44,4411,404
3427503698999958,IRR7SOLP0101,SOLX1,Soliran -R,SOLP,فسلیرح,ح.سولیران‌,IRR7SOLP0106,20180721,4,سولیران‌,A,P1,NO,7,28,2811,404
3453027360500664,IRB3SS330051,S33Q1,SSI-IJR3-SPH210814,SS33,شستا003,اجاره تامین اجتماعی-سپهر000523,IRB3SS330055,20200526,2,اجاره شستا-بخش3-سپهر14000523,A,Z1,NO,4,69,6910,306
3454456635278563,IRXZXOCI0026,XOC26,IFB Equel Weithed,IDXS,کل هم وزن فرابورس6,شاخص کل هم وزن فرابورس,IRXZXOCI0024,20180721,2,شرکت شاخص,I,00,ID,6,X1,X1,69
3492952121304423,IRO3PKDZ0001,PKDZ1,Pakdis Company,PKDZ,غدیس,پاکدیس,IRO3PKDZ0003,20200801,2,پاکدیس,A,Z1,NO,3,42,4254,303
3493306453706327,IRO1SHOY0001,SHOY1,Behshahr Ind.,SHOY,شوینده,مدیریت صنعت شوینده ت.ص.بهشهر,IRO1SHOY0005,20200801,1,مدیریت صنعت شوینده ت.ص.بهشهر,A,N1,NO,3,44,4424,300
3505675353152597,IRR1SORB0101,SORX1,N. I. L. Z.-R,SORB,فسربح,ح . ملی‌ سرب‌وروی‌ ایران‌,IRR1SORB0102,20171213,1,ملی‌ سرب‌وروی‌ ایران‌,A,N2,NO,5,27,2720,400
3542690854557886,IRO5KLSS0001,KLSS1,Kia Eled. Shargh,KLSS,کیا,کیا الکترود شرق,IRO5KLSS0007,20200621,2,کیا الکترود شرق,A,V1,NO,9,28,2899,313
3576992542663284,IRO3ZF020001,ZF021,Ijad mohit Co.,ZF02,ایجاد محیط,ایجاد محیط,IRO3ZF020002,20180721,2,ایجاد محیط,A,Z1,NO,5,70,7010,303
3615666621538524,IRX6X43T0006,X43T6,Index Group 43,IDXS,43-مواد دارویی6,43-مواد دارویی,IRX6X43T0007,20171212,1,شرکت شاخص,I,00,ID,6,X1,X1,68
3623921205367364,IRO1DMVN0001,DMVN1,Damavand Min.,DMVN,کدما,معدنی‌ دماوند,IRO1DMVN0009,20200801,1,معدنی‌ دماوند,A,N2,NO,5,13,1320,300
3654864906585643,IRO1TKNO0001,TKNO1,Technotar,TKNO,تکنو,تکنوتار,IRO1TKNO0002,20200801,1,تکنوتار,A,N2,NO,5,29,2912,300
3679885359158219,IRR1SAKH0101,SAKX1,Iran Const. Inv-R,SAKH,وساختح,ح . سرمایه‌ گذاری‌ ساختمان‌,IRR1SAKH0109,20171213,1,سرمایه گذاری ساختمان ایران,A,N1,NO,1,70,7099,400
3715246194918044,IRB3KORZ9821,KORQ1,Siman Kord. 22%,KORZ,سکرد98,مشارکت سیمان کردستان980219,IRB3KORZ9824,20180721,2,مشارکت سیمان کردستان980219,A,Z1,NO,4,69,6923,306
3722699128879020,IRO1TAYD0001,TAYD1,Tidewater,TAYD,حتاید,تایدواترخاورمیانه,IRO1TAYD0004,20200801,1,تایدواترخاورمیانه‌,A,N1,NO,1,60,6003,300
3727693296236633,IRR1SAMA0101,SAMX1,Ama-R,SAMA,فاماح,ح . صنعتی‌ آما,IRR1SAMA0104,20171213,1,صنعتی‌ آما,A,N1,NO,3,28,2899,400
3823146019192598,IRR3SHHZ0101,SHHX1,Shahdab Khorasan-R,SHHZ,غشهدابح,ح. کشت و صنعت شهداب ناب خراسان,IRR3SHHZ0103,20190729,2,کشت و صنعت شهداب ناب خراسان,A,Z1,NO,3,42,4249,403
3823243780502959,IRO1TKIN0001,TKIN1,Techinco,TKIN,رتکو,کنترل‌خوردگی‌تکین‌کو,IRO1TKIN0000,20200801,1,کنترل‌خوردگی‌تکین‌کو,A,N2,NO,5,74,7422,300
3826561665587230,IRO6MELZ9761,TM081,Melli Mortgage1809,MELZ,تملی706,تسهیلات مسکن ب. ملی-شهریور97,IRO6MELZ9762,20180929,2,تسهیلات مسکن بانک ملی ایران,A,Z1,NO,4,59,5910,307
3846143218462419,IRT1AFRN0001,AFRN1,Afra Namad ETF,AFRN,افران,صندوق س افرا نماد پایدار-ثابت,IRT1AFRN0006,20200715,1,صندوق س افرا نماد پایدار-ثابت,A,H1,NO,4,68,6812,305
3852548583453231,IRR1GMEL0101,GMEX1,Melli Ind. Grp.-R,GMEL,وملیح,ح . گروه‌ صنعتی‌ ملی‌ (هلدینگ‌,IRR1GMEL0101,20171213,1,گروه‌ صنعتی‌ ملی‌ (هلدینگ‌,A,N2,NO,5,19,1999,400
3863538898378476,IRO1MSKN0001,MSKN1,Housing Inv.,MSKN,ثمسکن,سرمایه‌گذاری‌ مسکن‌,IRO1MSKN0005,20200801,1,سرمایه‌گذاری‌ مسکن‌,A,N1,NO,1,70,7021,300
